city,school,title,post_date,job_category,deadline,status,detail_url,first_seen_at
沈阳,沈阳市人力资源和社会保障局,2026年辽宁省事业单位非综合行政执法类岗位集中面向社会公开招聘沈阳市拟聘用人员公示（第一批）,2026-07-23,招聘后续通知,,有效,https://rsj.shenyang.gov.cn/zwgkzdgz/jycyxx/sydwzlxx/202607/t20260723_5061831.html,2026-07-24 06:05:17
大连,大连理工大学,07-23 2026 进校人员公示（2026年第30次）,,招聘后续通知,,有效,https://perdep.dlut.edu.cn/tynry.jsp?urltype=news.NewsContentUrl&wbtreeid=1141&wbnewsid=22961,2026-07-24 06:03:13
大连,大连理工大学,07-24 2026 人力资源处2026年暑假值班表,2026-07-24,行政管理,,有效,https://perdep.dlut.edu.cn/info/1141/22981.htm,2026-07-24 06:03:13
