city,school,title,post_date,job_category,deadline,status,detail_url,first_seen_at
省级,辽宁省教育厅,辽宁省教育厅关于第三十届辽宁省教育教学信息化交流活动评选结果的公示,2026-09-08,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026090811154677027/index.shtml,2026-09-08 08:03:37
大连,大连理工大学,09-03 2026 关于2026年高等学校青年骨干教师出国研修项目的遴选通知,2026-09-03,行政管理,,有效,https://perdep.dlut.edu.cn/info/1141/23141.htm,2026-09-08 08:00:50
大连,大连理工大学,09-08 2026 2026年第1次长聘岗位评审委员会暨2026年第1次专业技术岗位评审委员会（...,,待人工复核,,有效,https://perdep.dlut.edu.cn/tynry.jsp?urltype=news.NewsContentUrl&wbtreeid=1141&wbnewsid=23171,2026-09-08 08:00:50
