city,school,title,post_date,job_category,deadline,status,detail_url,first_seen_at
省级,辽宁省教育厅,辽宁省2026年中小学教师资格定期注册试点工作公告,2026-09-11,行政管理,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026091114144116245/index.shtml,2026-09-11 08:02:00
省级,辽宁省教育厅,辽宁省教育厅2026年安置接收转业军官拟录用人员公示,2026-09-11,招聘后续通知,2026-09-18,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026091115051573609/index.shtml,2026-09-11 08:02:00
省级,辽宁省教育厅,关于2025年辽宁省优秀博士、硕士学位论文评选结果的公示,2026-09-11,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026091115074846118/index.shtml,2026-09-11 08:02:00
