city,school,title,post_date,job_category,deadline,status,detail_url,first_seen_at
省级,辽宁省教育厅,关于大连枫叶职业技术学院举办者变更的公示,2026-08-03,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026080316123895529/index.shtml,2026-08-04 06:05:34
省级,辽宁省教育厅,辽宁省高中等教育招生考试委员会办公室2026年集中面向社会公开招聘拟聘人员公示,2026-08-03,招聘后续通知,,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026080318202033824/index.shtml,2026-08-04 06:05:34
省级,辽宁省教育厅,辽宁省“特岗计划”学费补偿和国家助学贷款代偿人员名单及金额公示,2026-08-04,招聘后续通知,2026-08-10,有效,https://jyt.ln.gov.cn/jyt/gk/gsgg/2026080410094516226/index.shtml,2026-08-04 06:05:34
